Date,MSCI China ESG Leaders Index Standard (Large+Mid Cap),Return Rate
2019-10-16,"1,498.674",0.00640776
2019-10-17,"1,500.734",0.001374548
2019-10-18,"1,477.112",-0.015740298
2019-10-21,"1,482.366",0.003556941
2019-10-22,"1,476.980",-0.003633381
2019-10-23,"1,462.211",-0.009999458
2019-10-24,"1,474.603",0.008474837
2019-10-25,"1,479.078",0.003034715
2019-10-28,"1,505.366",0.017773234
2019-10-29,"1,494.016",-0.007539695
2019-10-30,"1,491.488",-0.001692084
2019-10-31,"1,499.819",0.005585697
2019-11-01,"1,503.388",0.00237962
2019-11-04,"1,532.404",0.019300407
2019-11-05,"1,548.967",0.010808507
2019-11-06,"1,554.507",0.003576577
2019-11-07,"1,567.816",0.008561557
2019-11-08,"1,556.302",-0.007343974
2019-11-11,"1,533.095",-0.01491163
2019-11-12,"1,546.973",0.009052277
2019-11-13,"1,522.761",-0.01565121
2019-11-14,"1,510.913",-0.007780604
2019-11-15,"1,520.570",0.0063915
2019-11-18,"1,536.631",0.010562486
2019-11-19,"1,555.304",0.012151909
2019-11-20,"1,539.559",-0.010123423
2019-11-21,"1,528.111",-0.007435896
2019-11-22,"1,542.748",0.009578493
2019-11-25,"1,565.865",0.014984301
2019-11-26,"1,573.022",0.004570637
2019-11-27,"1,590.163",0.01089686
2019-11-28,"1,593.170",0.001891001
2019-11-29,"1,568.487",-0.015493011
2019-12-02,"1,560.765",-0.004923216
2019-12-03,"1,556.075",-0.003004937
2019-12-04,"1,544.237",-0.007607602
2019-12-05,"1,570.238",0.016837441
2019-12-06,"1,589.396",0.012200698
2019-12-09,"1,579.742",-0.006074005
2019-12-10,"1,585.035",0.003350547
2019-12-11,"1,607.606",0.014240064
2019-12-12,"1,622.487",0.009256621
2019-12-13,"1,648.272",0.015892269
2019-12-16,"1,652.471",0.002547516
2019-12-17,"1,681.130",0.017343118
2019-12-18,"1,693.202",0.007180884
2019-12-19,"1,688.878",-0.002553741
2019-12-20,"1,694.212",0.00315831
2019-12-23,"1,709.475",0.009008908
2019-12-24,"1,705.523",-0.002311821
2019-12-25,"1,705.760",0.00013896
2019-12-26,"1,712.675",0.004053911
2019-12-27,"1,726.796",0.008244997
2019-12-30,"1,719.962",-0.003957619
2019-12-31,"1,706.149",-0.008030991
2020-01-01,"1,706.149",0
2020-01-02,"1,747.429",0.024194839
2020-01-03,"1,738.310",-0.005218524
2020-01-06,"1,723.350",-0.00860606
2020-01-07,"1,739.365",0.009292947
2020-01-08,"1,730.044",-0.005358852
2020-01-09,"1,762.456",0.018734784
2020-01-10,"1,779.306",0.009560522
2020-01-13,"1,816.394",0.020844082
2020-01-14,"1,794.636",-0.011978679
2020-01-15,"1,787.361",-0.004053747
2020-01-16,"1,788.862",0.000839786
2020-01-17,"1,802.919",0.007858068
2020-01-20,"1,792.238",-0.005924282
2020-01-21,"1,745.616",-0.026013286
2020-01-22,"1,762.416",0.00962411
2020-01-23,"1,730.932",-0.017864114
2020-01-24,"1,716.158",-0.008535286
2020-01-27,"1,690.666",-0.01485411
2020-01-28,"1,704.817",0.008370074
2020-01-29,"1,689.895",-0.008752846
2020-01-30,"1,652.026",-0.022409085
2020-01-31,"1,640.325",-0.007082818
2020-02-03,"1,668.257",0.017028333
2020-02-04,"1,725.030",0.034031327
2020-02-05,"1,722.642",-0.001384324
2020-02-06,"1,748.055",0.01475234
2020-02-07,"1,734.850",-0.00755411
2020-02-10,"1,730.279",-0.00263481
2020-02-11,"1,753.185",0.013238327
2020-02-12,"1,783.358",0.017210391
2020-02-13,"1,776.031",-0.004108541
2020-02-14,"1,775.025",-0.000566432
2020-02-17,"1,782.709",0.004328953
2020-02-18,"1,767.783",-0.008372651
2020-02-19,"1,777.923",0.005735998
2020-02-20,"1,765.246",-0.00713023
2020-02-21,"1,730.516",-0.019674312
2020-02-24,"1,684.298",-0.026707641
2020-02-25,"1,699.158",0.008822667
2020-02-26,"1,701.013",0.001091717
2020-02-27,"1,694.682",-0.0037219
2020-02-28,"1,670.293",-0.014391491
2020-03-02,"1,697.131",0.01606784
2020-03-03,"1,696.340",-0.000466081
2020-03-04,"1,711.133",0.00872054
2020-03-05,"1,739.853",0.016784201
2020-03-06,"1,695.356",-0.025575149
2020-03-09,"1,627.924",-0.039774537
2020-03-10,"1,670.080",0.025895558
2020-03-11,"1,638.967",-0.018629646
2020-03-12,"1,557.236",-0.049867386
2020-03-13,"1,580.292",0.01480572
2020-03-16,"1,479.605",-0.063714174
2020-03-17,"1,506.984",0.018504263
2020-03-18,"1,450.645",-0.037385268
2020-03-19,"1,454.844",0.002894574
2020-03-20,"1,501.855",0.03231343
2020-03-23,"1,451.446",-0.033564492
2020-03-24,"1,524.026",0.050005305
2020-03-25,"1,570.384",0.030418116
2020-03-26,"1,589.309",0.012051193
2020-03-27,"1,571.363",-0.0112917
2020-03-30,"1,566.195",-0.003288865
2020-03-31,"1,590.272",0.015372926
2020-04-01,"1,551.725",-0.02423925
2020-04-02,"1,566.798",0.009713706
2020-04-03,"1,555.699",-0.007083874
2020-04-06,"1,597.667",0.026976941
2020-04-07,"1,622.518",0.015554555
2020-04-08,"1,607.534",-0.009235029
2020-04-09,"1,625.249",0.011019985
2020-04-10,"1,624.812",-0.000268882
2020-04-13,"1,633.611",0.005415396
2020-04-14,"1,657.777",0.014792995
2020-04-15,"1,664.267",0.003914881
2020-04-16,"1,689.365",0.015080513
2020-04-17,"1,689.674",0.000182909
2020-04-20,"1,699.707",0.005937832
2020-04-21,"1,663.740",-0.021160706
2020-04-22,"1,687.641",0.014365826
2020-04-23,"1,677.387",-0.006075937
2020-04-24,"1,664.007",-0.007976692
2020-04-27,"1,684.892",0.012551029
2020-04-28,"1,686.707",0.00107722
2020-04-29,"1,708.704",0.013041388
2020-04-30,"1,696.791",-0.006971951
2020-05-01,"1,671.475",-0.014919928
2020-05-04,"1,618.366",-0.031773733
2020-05-05,"1,644.177",0.015948803
2020-05-06,"1,657.518",0.00811409
2020-05-07,"1,656.716",-0.000483856
2020-05-08,"1,693.965",0.022483636
2020-05-11,"1,730.762",0.021722409
2020-05-12,"1,708.552",-0.012832498
2020-05-13,"1,708.634",4.79939E-05
2020-05-14,"1,708.461",-0.00010125
2020-05-15,"1,706.383",-0.001216299
2020-05-18,"1,745.170",0.022730536
2020-05-19,"1,766.629",0.012296223
2020-05-20,"1,778.444",0.006687878
2020-05-21,"1,751.400",-0.015206551
2020-05-22,"1,665.983",-0.048770698
2020-05-25,"1,677.962",0.007190349
2020-05-26,"1,704.639",0.015898453
2020-05-27,"1,691.016",-0.007991721
2020-05-28,"1,668.835",-0.013116966
2020-05-29,"1,700.964",0.019252353
2020-06-01,"1,739.556",0.022688311
2020-06-02,"1,765.875",0.015129723
2020-06-03,"1,791.840",0.014703759
2020-06-04,"1,798.523",0.003729686
2020-06-05,"1,801.260",0.001521804
2020-06-08,"1,786.959",-0.007939442
2020-06-09,"1,800.232",0.007427703
2020-06-10,"1,829.127",0.016050709
2020-06-11,"1,794.798",-0.01876797
2020-06-12,"1,798.280",0.001940051
2020-06-15,"1,777.818",-0.011378651
2020-06-16,"1,832.011",0.030482873
2020-06-17,"1,842.938",0.005964484
2020-06-18,"1,853.218",0.00557805
2020-06-19,"1,856.375",0.001703523
2020-06-22,"1,866.171",0.005276951
2020-06-23,"1,923.986",0.030980548
2020-06-24,"1,907.813",-0.008405986
2020-06-25,"1,896.206",-0.00608393
2020-06-26,"1,866.378",-0.015730358
2020-06-29,"1,860.505",-0.003146737
2020-06-30,"1,876.421",0.008554667
2020-07-01,"1,877.887",0.000781275
2020-07-02,"1,935.371",0.030611001
2020-07-03,"1,960.804",0.01314115
2020-07-06,"2,029.701",0.035137117
2020-07-07,"2,014.292",-0.007591759
2020-07-08,"2,121.744",0.053344798
2020-07-09,"2,168.460",0.022017736
2020-07-10,"2,139.693",-0.013266097
2020-07-13,"2,113.550",-0.012218108
2020-07-14,"2,068.708",-0.021216437
2020-07-15,"2,088.331",0.009485631
2020-07-16,"2,003.392",-0.04067315
2020-07-17,"2,033.009",0.014783427
2020-07-20,"2,064.378",0.015429838
2020-07-21,"2,140.947",0.037090591
2020-07-22,"2,076.484",-0.030109573
2020-07-23,"2,106.435",0.014423901
2020-07-24,"2,038.400",-0.032298647
2020-07-27,"2,031.034",-0.003613619
2020-07-28,"2,063.798",0.016131685
2020-07-29,"2,078.228",0.006991963
2020-07-30,"2,072.123",-0.002937599
2020-07-31,"2,064.388",-0.003732887
2020-08-03,"2,101.716",0.018081872
2020-08-04,"2,146.357",0.021240263
2020-08-05,"2,170.923",0.01144544
2020-08-06,"2,167.169",-0.001729218
2020-08-07,"2,088.522",-0.036290202
2020-08-10,"2,044.538",-0.021059869
2020-08-11,"2,056.027",0.005619362
2020-08-12,"2,078.470",0.010915713
2020-08-13,"2,062.543",-0.007662848
2020-08-14,"2,064.766",0.001077796
2020-08-17,"2,077.415",0.006126118
2020-08-18,"2,108.643",0.015032143
2020-08-19,"2,096.816",-0.00560882
2020-08-20,"2,082.230",-0.006956261
2020-08-21,"2,123.626",0.019880609
2020-08-24,"2,205.990",0.038784607
2020-08-25,"2,223.789",0.008068486
2020-08-26,"2,252.903",0.013092069
2020-08-27,"2,247.465",-0.002413775
2020-08-28,"2,242.933",-0.002016494
2020-08-31,"2,212.049",-0.013769471
2020-09-01,"2,262.249",0.022693892
2020-09-02,"2,269.810",0.003342249
2020-09-03,"2,207.876",-0.027285984
2020-09-04,"2,181.666",-0.011871138
2020-09-07,"2,155.738",-0.011884496
2020-09-08,"2,114.259",-0.019241206
2020-09-09,"2,108.943",-0.002514356
2020-09-10,"2,091.986",-0.008040521
2020-09-11,"2,126.384",0.016442749
2020-09-14,"2,153.794",0.012890428
2020-09-15,"2,171.421",0.008184162
2020-09-16,"2,182.153",0.004942386
2020-09-17,"2,158.473",-0.010851668
2020-09-18,"2,152.291",-0.002864062
2020-09-21,"2,136.390",-0.007387942
2020-09-22,"2,132.622",-0.001763723
2020-09-23,"2,132.018",-0.000283219
2020-09-24,"2,092.174",-0.018688398
2020-09-25,"2,085.812",-0.003040856
2020-09-28,"2,110.872",0.012014506
2020-09-29,"2,110.334",-0.000254871
2020-09-30,"2,178.846",0.032465003
2020-10-01,"2,169.044",-0.004498712
2020-10-02,"2,162.326",-0.003097217
2020-10-05,"2,181.584",0.00890615
2020-10-06,"2,212.669",0.014248821
2020-10-07,"2,241.527",0.013042168
2020-10-08,"2,255.416",0.006196222
2020-10-09,"2,261.753",0.002809681
2020-10-12,"2,319.843",0.025683618
2020-10-13,"2,327.033",0.003099348
2020-10-14,"2,331.599",0.001962155
2020-10-15,"2,290.159",-0.017773211
2020-10-16,"2,326.557",0.01589322
2020-10-19,"2,320.336",-0.002673908
2020-10-20,"2,342.425",0.009519742
2020-10-21,"2,351.239",0.003762767
2020-10-22,"2,344.777",-0.002748338
2020-10-23,"2,342.952",-0.000778326
2020-10-26,"2,332.529",-0.004448661
2020-10-27,"2,389.494",0.02442199
2020-10-28,"2,386.538",-0.001237082
2020-10-29,"2,424.843",0.016050446
2020-10-30,"2,367.968",-0.023455127
2020-11-02,"2,418.400",0.021297585
2020-11-03,"2,354.675",-0.026350066
2020-11-04,"2,396.056",0.017573975
2020-11-05,"2,458.579",0.026094131
2020-11-06,"2,477.692",0.007774003
2020-11-09,"2,476.003",-0.000681683
2020-11-10,"2,347.437",-0.051924816
2020-11-11,"2,276.273",-0.030315617
2020-11-12,"2,324.502",0.021187705
2020-11-13,"2,350.833",0.011327588
2020-11-16,"2,349.921",-0.000387948
2020-11-17,"2,318.744",-0.013267255
2020-11-18,"2,323.135",0.001893698
2020-11-19,"2,313.420",-0.004181849
2020-11-20,"2,372.261",0.025434638
2020-11-23,"2,385.075",0.005401598
2020-11-24,"2,401.872",0.007042546
2020-11-25,"2,368.515",-0.013887917
2020-11-26,"2,396.971",0.012014279
2020-11-27,"2,400.243",0.001365056
2020-11-30,"2,314.704",-0.035637642
2020-12-01,"2,329.897",0.00656369
2020-12-02,"2,306.740",-0.009939066
2020-12-03,"2,334.941",0.012225478
2020-12-04,"2,343.038",0.003467754
2020-12-07,"2,321.968",-0.008992598
2020-12-08,"2,329.913",0.003421666
2020-12-09,"2,321.469",-0.00362417
2020-12-10,"2,314.928",-0.002817612
2020-12-11,"2,325.035",0.004366011
2020-12-14,"2,275.383",-0.021355377
2020-12-15,"2,264.672",-0.004707339
2020-12-16,"2,306.969",0.018676877
2020-12-17,"2,340.640",0.014595341
2020-12-18,"2,322.944",-0.007560325
2020-12-21,"2,324.227",0.000552316
2020-12-22,"2,300.446",-0.010231789
2020-12-23,"2,308.203",0.003371955
2020-12-24,"2,191.400",-0.050603435
2020-12-25,"2,192.623",0.000558091
2020-12-28,"2,142.247",-0.022975222
2020-12-29,"2,206.489",0.029988139
2020-12-30,"2,274.191",0.030683135
2020-12-31,"2,279.553",0.002357762
2021-01-01,"2,279.553",0
2021-01-04,"2,284.583",0.002206573
2021-01-05,"2,338.788",0.023726431
2021-01-06,"2,324.849",-0.005959925
2021-01-07,"2,304.007",-0.008964883
2021-01-08,"2,365.302",0.026603652
2021-01-11,"2,365.236",-2.79034E-05
2021-01-12,"2,359.427",-0.002455992
2021-01-13,"2,387.277",0.011803713
2021-01-14,"2,452.661",0.027388527
2021-01-15,"2,458.536",0.002395358
2021-01-18,"2,493.112",0.014063654
2021-01-19,"2,542.187",0.019684234
2021-01-20,"2,644.387",0.040201606
2021-01-21,"2,635.146",-0.003494572
2021-01-22,"2,648.390",0.005025907
2021-01-25,"2,757.615",0.041242038
2021-01-26,"2,690.181",-0.02445374
2021-01-27,"2,632.686",-0.021372168
2021-01-28,"2,585.158",-0.018053045
2021-01-29,"2,557.653",-0.010639582
2021-02-01,"2,661.885",0.040752987
2021-02-02,"2,665.566",0.001382855
2021-02-03,"2,723.161",0.021607043
2021-02-04,"2,714.894",-0.00303581
2021-02-05,"2,710.322",-0.001684044
2021-02-08,"2,715.821",0.00202891
2021-02-09,"2,750.714",0.012848049
2021-02-10,"2,799.841",0.017859727
2021-02-11,"2,811.205",0.004058802
2021-02-12,"2,806.787",-0.001571568
2021-02-15,"2,807.103",0.000112584
2021-02-16,"2,808.025",0.000328453
2021-02-17,"2,831.412",0.00832863
2021-02-18,"2,761.658",-0.024635765
2021-02-19,"2,753.458",-0.002969231
2021-02-22,"2,649.570",-0.037730011
2021-02-23,"2,634.384",-0.005731496
2021-02-24,"2,567.054",-0.025558157
2021-02-25,"2,554.451",-0.004909519
2021-02-26,"2,462.637",-0.035942752
2021-03-01,"2,553.382",0.036848711
2021-03-02,"2,510.677",-0.016724877
2021-03-03,"2,563.799",0.021158437
2021-03-04,"2,454.863",-0.04249007
2021-03-05,"2,442.874",-0.004883776
2021-03-08,"2,332.973",-0.044988403
2021-03-09,"2,373.353",0.017308387
2021-03-10,"2,401.988",0.012065209
2021-03-11,"2,495.904",0.039099279
2021-03-12,"2,423.894",-0.02885127
2021-03-15,"2,378.330",-0.018797852
2021-03-16,"2,394.175",0.006662238
2021-03-17,"2,411.847",0.007381248
2021-03-18,"2,445.564",0.013979742
2021-03-19,"2,424.571",-0.008584114
2021-03-22,"2,420.524",-0.001669161
2021-03-23,"2,388.479",-0.013238869
