Date,EAFE Standard (Large+Mid Cap),Return Rate,,,
2019-09-25,"5,919.629",-0.008289344,,,
2019-09-26,"5,937.600",0.003035832,,,
2019-09-27,"5,950.774",0.002218742,,,
2019-09-30,"5,930.797",-0.003357042,,,
2019-10-01,"5,902.857",-0.004711003,,,
2019-10-02,"5,804.970",-0.016582987,,,
2019-10-03,"5,797.108",-0.001354357,,,
2019-10-04,"5,822.246",0.0043363,,,
2019-10-07,"5,854.720",0.005577573,,,
2019-10-08,"5,812.299",-0.007245607,,,
2019-10-09,"5,818.621",0.001087694,,,
2019-10-10,"5,848.808",0.005187999,,,
2019-10-11,"5,956.694",0.01844581,,,
2019-10-14,"5,940.121",-0.002782248,,,
2019-10-15,"6,001.686",0.010364267,,,
2019-10-16,"6,018.613",0.002820374,,,
2019-10-17,"6,037.604",0.003155378,,,
2019-10-18,"6,030.685",-0.001145984,,,
2019-10-21,"6,064.900",0.005673485,,,
2019-10-22,"6,067.090",0.000361094,,,
2019-10-23,"6,069.660",0.000423597,,,
2019-10-24,"6,099.601",0.004932896,,,
2019-10-25,"6,106.960",0.001206472,,,
2019-10-28,"6,114.165",0.001179801,,,
2019-10-29,"6,134.205",0.003277635,,,
2019-10-30,"6,138.746",0.000740275,,,
2019-10-31,"6,143.885",0.000837142,,,
2019-11-01,"6,179.170",0.005743109,,,
2019-11-04,"6,211.592",0.005246983,,,
2019-11-05,"6,210.053",-0.000247763,,,
2019-11-06,"6,218.912",0.001426558,,,
2019-11-07,"6,227.266",0.001343322,,,
2019-11-08,"6,212.063",-0.00244136,,,
2019-11-11,"6,212.741",0.000109142,,,
2019-11-12,"6,225.017",0.001975939,,,
2019-11-13,"6,200.683",-0.003909066,,,
2019-11-14,"6,169.334",-0.005055733,,,
2019-11-15,"6,217.081",0.007739409,,,
2019-11-18,"6,235.005",0.002883025,,,
2019-11-19,"6,231.940",-0.000491579,,,
2019-11-20,"6,193.914",-0.006101792,,,
2019-11-21,"6,175.645",-0.002949508,,,
2019-11-22,"6,181.329",0.00092039,,,
2019-11-25,"6,224.962",0.007058838,,,
2019-11-26,"6,231.915",0.001116955,,,
2019-11-27,"6,243.840",0.001913537,,,
2019-11-28,"6,237.549",-0.001007553,,,
2019-11-29,"6,213.146",-0.003912274,,,
2019-12-02,"6,192.348",-0.003347419,,,
2019-12-03,"6,162.431",-0.004831285,,,
2019-12-04,"6,189.788",0.004439319,,,
2019-12-05,"6,198.776",0.001452069,,,
2019-12-06,"6,236.428",0.006074102,,,
2019-12-09,"6,243.692",0.001164769,,,
2019-12-10,"6,233.119",-0.001693389,,,
2019-12-11,"6,243.373",0.001645083,,,
2019-12-12,"6,262.873",0.003123312,,,
2019-12-13,"6,343.629",0.012894402,,,
2019-12-16,"6,396.643",0.008357046,,,
2019-12-17,"6,387.095",-0.001492658,,,
2019-12-18,"6,364.329",-0.003564375,,,
2019-12-19,"6,369.354",0.000789557,,,
2019-12-20,"6,384.096",0.00231452,,,
2019-12-23,"6,381.323",-0.000434361,,,
2019-12-24,"6,389.861",0.001337967,,,
2019-12-25,"6,384.795",-0.000792818,,,
2019-12-26,"6,394.023",0.001445309,,,
2019-12-27,"6,433.106",0.006112427,,,
2019-12-30,"6,412.070",-0.00326996,,,
2019-12-31,"6,415.071",0.000468024,,,
2020-01-01,"6,415.125",8.41768E-06,,,
2020-01-02,"6,453.019",0.005906978,,,
2020-01-03,"6,432.623",-0.003160691,,,
2020-01-06,"6,398.872",-0.005246849,,,
2020-01-07,"6,413.613",0.002303687,,,
2020-01-08,"6,389.254",-0.003798015,,,
2020-01-09,"6,413.207",0.003748951,,,
2020-01-10,"6,427.000",0.002150718,,,
2020-01-13,"6,421.917",-0.000790882,,,
2020-01-14,"6,440.848",0.002947874,,,
2020-01-15,"6,445.829",0.000773345,,,
2020-01-16,"6,453.333",0.001164164,,,
2020-01-17,"6,481.943",0.004433368,,,
2020-01-20,"6,476.996",-0.000763197,,,
2020-01-21,"6,461.599",-0.002377182,,,
2020-01-22,"6,463.219",0.000250712,,,
2020-01-23,"6,415.567",-0.007372797,,,
2020-01-24,"6,442.120",0.004138839,,,
2020-01-27,"6,323.112",-0.018473422,,,
2020-01-28,"6,330.346",0.001144057,,,
2020-01-29,"6,348.633",0.002888784,,,
2020-01-30,"6,297.791",-0.008008338,,,
2020-01-31,"6,281.075",-0.002654264,,,
2020-02-03,"6,257.873",-0.003693954,,,
2020-02-04,"6,320.984",0.010085056,,,
2020-02-05,"6,370.802",0.007881368,,,
2020-02-06,"6,421.304",0.007927102,,,
2020-02-07,"6,397.617",-0.003688815,,,
2020-02-10,"6,370.653",-0.004214694,,,
2020-02-11,"6,408.033",0.00586753,,,
